ID,Country,Zones,Vat
1,Afghanistan,10,0
2,Albania,5,0
3,Algeria,10,0
4,American Samoa,10,0
5,Andorra ,4,0
6,Angola,10,0
7,Anguilla,10,0
8,Antigua,10,0
9,Argentina,10,0
10,Armenia,10,0
11,Aruba,10,0
12,Australia,8,0
13,Austria,3,1
14,Azerbaijan,10,0
15,Bahamas,10,0
16,Bahrain,9,0
17,Bangladesh,10,0
18,Barbados,10,0
19,Belarus,5,0
20,Belgium,1,1
21,Belize,10,0
22,Benin,10,0
23,Bermuda,10,0
24,Bhutan,10,0
25,Bolivia,10,0
26,Bonaire,10,0
27,Bosnia Herzegovina,5,0
28,Botswana,10,0
29,Brazil,10,0
30,British Virgin Islands,N/A,0
31,Brunei ,9,0
32,Bulgaria,4,1
33,Burkina Faso,10,0
34,Burundi,10,0
35,Cambodia,9,0
36,Cameroon ,10,0
37,Canada,7,0
38,Canary Islands ,5,0
39,Cape Verde Islands,10,0
40,Cayman Islands,10,0
41,Central African Rep,10,0
42,Chad,10,0
43,Channel Islands,1,0
44,Chile,10,0
45,"China and China, Republic of",8,0
46,Cocos Islands,0,0
47,Colombia,10,0
48,Comoros Islands,10,0
49,Congo,10,0
50,"Congo, Dem. Rep.",10,0
51,Cook Islands,10,0
52,Costa Rica,10,0
53,Croatia,5,0
54,Cuba,10,0
55,Curacao,10,0
56,Cyprus,4,1
57,Czech Republic,4,1
58,Denmark,3,1
59,Djibouti,10,0
60,Dominica,10,0
61,Dominican Rep,10,0
62,East Timor,10,0
63,Ecuador,10,0
64,Egypt,10,0
65,El Salvador,10,0
66,Equatorial Guinea,10,0
67,Eritrea,10,0
68,Estonia,4,1
69,Ethiopia,10,0
70,Falkland Islands,10,0
71,Faroe Islands ,5,0
72,Fiji,10,0
73,Finland,3,1
74,France,2,1
75,French Guiana,10,0
76,Gabon,10,0
77,Gambia,10,0
78,Georgia,10,0
79,Germany,2,1
80,Ghana,10,0
81,Gibraltar,5,0
82,Greece,4,1
83,Greenland ,5,0
84,Grenada,10,0
85,Guadeloupe,10,0
86,Guam,10,0
87,Guatemala,10,0
88,Guinea Rep.,10,0
89,Guinea-Bissau,10,0
90,Guyana,10,0
91,Haiti,10,0
92,Honduras Rep,10,0
93,Hong Kong,8,0
94,Hungary,4,1
95,Iceland,5,0
96,India,8,0
97,Indonesia,8,0
98,Iran ,10,0
99,Iraq,10,0
100,Ireland Republic of,1,1
101,Israel ,10,0
102,Italy,3,1
103,Ivory Coast ,10,0
104,Jamaica,10,0
105,Japan ,8,0
106,Jordan ,9,0
107,Kazakhstan,10,0
108,Kenya ,10,0
109,Kiribati,10,0
110,"Korea, D.P.R of (North)",10,0
111,South Korea and Korea Republic,8,0
112,Kosovo,5,0
113,Kuwait,9,0
114,Kyrgyzstan,10,0
115,Laos Peoples Dem. Rep,10,0
116,Latvia,4,1
117,Lebanon ,10,0
118,Lesotho,10,0
119,Liberia,10,0
120,Libya,10,0
121,Liechtenstein,5,0
122,Lithuania,4,1
123,Luxembourg,1,1
124,Macau ,8,0
125,Macedonia,5,0
126,Madagascar,10,0
127,Malawi,10,0
128,Malaysia ,8,0
129,Maldives ,10,0
130,Mali,10,0
131,Malta,4,1
132,Marshall Islands,10,0
133,Martinique,10,0
134,Mauritania,10,0
135,Mauritius,10,0
136,Mayotte,10,0
137,Mexico,7,0
138,"Micronesia, Fed States Of",10,0
139,"Moldova, Rep of",5,0
140,Monaco,4,0
141,Mongolia,10,0
142,Montenegro,5,0
143,Montserrat,10,0
144,Morocco,10,0
145,Mozambique,10,0
146,Myanmar (Burma) ,10,0
147,Namibia,10,0
148,"Nauru, Rep of",10,0
149,Nepal ,10,0
150,Netherlands,1,1
151,Netherlands Antilles,10,0
152,Nevis,10,0
153,New Caledonia,10,0
154,New Zealand,9,0
155,Nicaragua,10,0
156,Niger,10,0
157,Nigeria ,10,0
158,Niue,10,0
159,Norway ,5,0
160,Oman ,9,0
161,Pakistan,10,0
162,Palestine,8,0
163,Palau,10,0
164,Panama,10,0
165,Papua New Guinea,10,0
166,Paraguay,10,0
167,Peru,10,0
168,Philippines ,8,0
169,Poland,4,1
170,Portugal,3,1
171,Puerto Rico,10,0
172,Qatar ,9,0
173,"Reunion, Island of",10,0
174,Romania,4,1
175,Russian Federation,5,0
176,Rwanda,10,0
177,Saipan,10,0
182,Samoa,10,0
183,San Marino ,3,0
184,Sao Tome & Principe,10,0
185,Saudi Arabia ,9,0
186,Senegal ,10,0
187,Serbia,5,0
188,Seychelles,10,0
189,Sierra Leone,10,0
190,Singapore ,8,0
191,Slovakia,4,1
192,Slovenia,4,1
193,Solomon Islands,9,0
194,Somalia,10,0
195,Somaliland Rep. Of,10,0
196,South Africa,9,0
197,Spain,3,1
198,Sri Lanka,10,0
199,St Barthelemy,10,0
200,St Eustatius,10,0
201,St Kitts,10,0
202,St Lucia,10,0
203,St Maarten,10,0
204,St Vincent,10,0
205,Sudan,10,0
206,Suriname,10,0
207,Swaziland,10,0
208,Sweden,3,1
209,Switzerland ,5,0
210,Syria,10,0
211,Tahiti,10,0
212,Taiwan ,8,0
213,Tajikistan,10,0
214,Tanzania,10,0
215,Thailand ,8,0
216,Togo,10,0
217,Tokelau,0,0
218,Tonga,10,0
219,Trinidad & Tobago,10,0
220,Tunisia,10,0
221,Turkey ,5,0
222,Turkmenistan,0,0
223,Turks & Caicos Islands,10,0
224,Tuvalu,10,0
225,U.S. Virgin Islands,0,0
226,Uganda,10,0
227,Ukraine,5,0
228,United Arab Emirates ,8,0
229,United Kingdom,0,1
230,Uruguay,10,0
231,USA,6,0
232,Uzbekistan,10,0
233,Vanuatu,10,0
234,Venezuela,10,0
235,Vietnam ,8,0
236,"Virgin Islands, British",10,0
237,"Virgin Islands, US",10,0
238,Yemen,9,0
239,Zambia,10,0
240,Zimbabwe,10,0
